week,passing_epa,completions,attempts,passing_yards,passing_tds,interceptions,sacks,pacr
9,8.078893333065578,20,26,228,1,0,4,1.3179190751445087
10,5.195348850801602,21,40,289,2,2,1,0.7316455696202532
11,10.750950282512573,27,40,322,2,0,3,1.2243346007604563
12,12.759378605006113,22,32,268,3,0,0,0.8874172185430463
13,15.392143603934805,25,36,267,3,0,2,0.9816176470588235
14,-0.21791342134478953,25,39,218,1,1,2,0.9437229437229437
15,3.926120546559818,29,39,284,2,0,2,1.1497975708502024
16,11.282902940933512,17,28,219,2,0,1,0.7657342657342657
17,14.013365820699597,24,33,256,3,0,0,0.7925696594427245
18,15.073805185603186,27,32,316,2,0,1,1.4298642533936652
1,-1.2410654513043027,23,33,229,1,0,3,0.9786324786324786
2,9.26494210589466,27,41,305,2,0,3,0.691609977324263
3,21.501615730756065,40,47,405,3,0,1,1.2695924764890283
4,-3.676677308384192,13,24,167,1,1,2,0.5778546712802768
6,-0.20592430754743463,22,37,227,2,1,1,0.88671875
7,0.5402288636620126,17,30,259,1,2,5,0.7993827160493827
8,17.087563478392997,31,40,298,3,0,0,1.7126436781609196
9,-6.611584542193967,16,30,136,0,0,5,0.85
10,14.587980706253923,27,40,323,4,1,0,1.1831501831501832
11,5.060112854914548,21,36,260,2,0,2,0.7514450867052023
12,-11.907626775650716,29,44,217,1,1,3,0.7281879194630873
13,2.0078626550231666,22,37,212,0,0,0,0.7881040892193308
14,-19.54357248696033,9,17,96,0,1,4,0.897196261682243
1,-4.85952255143671,22,33,170,1,0,3,0.5120481927710844
2,1.1131707055028528,18,23,193,1,1,4,0.9278846153846154
3,1.7553614552587669,23,37,277,1,2,1,0.8099415204678363
4,10.566899214391142,25,37,319,2,0,3,0.8015075376884422
5,7.784427022446399,25,38,303,1,1,1,1.0236486486486487
6,-6.5059565516402715,28,45,280,1,3,2,0.7692307692307693
7,2.172574536059983,23,31,279,2,1,3,1.2236842105263157
8,23.611318518510913,29,38,319,4,0,2,1.049342105263158
9,8.435014081711415,17,23,207,2,0,3,1.0402010050251256
11,-3.4149417451117188,14,22,150,0,1,5,0.8928571428571429
12,0.08719554189211765,18,31,200,3,1,2,0.9049773755656109
13,10.26057722323575,26,45,298,1,0,3,0.8587896253602305
14,2.5487039626868744,18,27,197,0,0,1,0.6985815602836879
15,1.71635226032231,17,31,143,0,2,0,0.4847457627118644
16,7.3838059724531355,24,38,301,1,1,1,1.4401913875598087
17,11.54995583853046,18,23,167,3,1,0,0.6447876447876448
18,-10.87321348884143,7,16,55,0,1,2,0.2956989247311828
1,-18.635626889657797,14,31,82,0,0,2,0.37104072398190047
2,1.572308320844988,27,41,222,2,1,1,1.004524886877828
3,-6.3870241614940735,26,49,259,0,1,2,0.752906976744186
4,-8.805660734302364,20,30,165,0,0,3,1.2043795620437956
5,9.498447030530683,36,46,317,3,1,3,1.0566666666666666
